Date,Open,High,Low,Close,Volume
2026-08-04 00:27:00,29013.5,29014.5,29011,29012.5,0
2026-08-04 00:28:00,29013.25,29013.5,29006,29007.25,0
2026-08-04 00:29:00,29007.75,29009.25,29006,29007.5,0
2026-08-04 00:30:00,29009.25,29012.25,29008,29011,0
2026-08-04 00:31:00,29011.5,29012.75,29009.5,29012.5,0
2026-08-04 00:32:00,29009.25,29014.5,29009,29010.75,0
2026-08-04 00:33:00,29008.75,29010,29005.75,29009.25,0
2026-08-04 00:34:00,29007.25,29010,29005.5,29008.25,0
2026-08-04 00:35:00,29004.25,29008.25,29003,29006.5,0
2026-08-04 00:36:00,29005.75,29007,28997.5,28997.75,0
2026-08-04 00:37:00,28998.25,29001.25,28998.25,28999.25,0
2026-08-04 00:38:00,28999,29000.5,28998.25,28999.25,0
2026-08-04 00:39:00,29002.75,29003.5,28998.25,28998.25,0
2026-08-04 00:40:00,28998,29002.25,28996.5,29002,0
2026-08-04 00:41:00,29000.5,29003.5,28999.75,29002.5,0
2026-08-04 00:42:00,28999,29002.25,28998.25,28999.25,0
2026-08-04 00:43:00,28997,29000.25,28995.75,28997,0
2026-08-04 00:44:00,28997.25,29004.25,28996,28999.5,0
2026-08-04 00:45:00,28997.5,29009.75,28994.75,29008,0
2026-08-04 00:46:00,29009,29010,29001,29002.25,0
2026-08-04 00:47:00,29002.75,29008.25,29002.75,29008.25,0
2026-08-04 00:48:00,29007.5,29008.75,29005.5,29006.25,0
2026-08-04 00:49:00,29006.75,29010.5,29005,29009.75,0
2026-08-04 00:50:00,29010.5,29011.5,29007,29007.75,0
2026-08-04 00:51:00,29007,29015,29004.75,29013.75,0
2026-08-04 00:52:00,29014.5,29018.25,29014.5,29016.25,0
2026-08-04 00:53:00,29014.75,29020,29013.75,29018.75,0
2026-08-04 00:54:00,29017.75,29023,29016.5,29018.75,0
2026-08-04 00:55:00,29018,29020.5,29017.5,29020.5,0
2026-08-04 00:56:00,29022,29023.25,29020,29020.5,0
2026-08-04 00:57:00,29019.5,29021.25,29014.5,29014.5,0
2026-08-04 00:58:00,29014.25,29014.25,29008.25,29008.25,0
2026-08-04 00:59:00,29007.5,29015.75,29002.75,29015.5,0
2026-08-04 01:00:00,29016.25,29022.25,29002.25,29003.5,0
2026-08-04 01:01:00,29004,29007.75,28999.5,29002.75,0
2026-08-04 01:02:00,29000.75,29006.75,28993.25,29005,0
2026-08-04 01:03:00,29008,29008,28993.5,28994.5,0
2026-08-04 01:04:00,28995.75,29005.75,28995.75,29002,0
2026-08-04 01:05:00,29003.5,29004.25,28997,28998.25,0
2026-08-04 01:06:00,28998.25,29000.75,28994.75,28999,0
2026-08-04 01:07:00,28999.25,29006,28998.75,29003.25,0
2026-08-04 01:08:00,29002.5,29003.25,28999.25,29001.75,0
2026-08-04 01:09:00,29001.75,29008.75,29001.5,29005.5,0
2026-08-04 01:10:00,29005.25,29005.5,28990,28993.25,0
2026-08-04 01:11:00,28994,28995,28985.75,28988.75,0
2026-08-04 01:12:00,28988.25,28988.25,28978.25,28982.25,0
2026-08-04 01:13:00,28981.5,28990.5,28979.75,28983.25,0
2026-08-04 01:14:00,28984.75,28989.75,28983.75,28987.75,0
2026-08-04 01:15:00,28987.75,29001,28983,28996.5,0
2026-08-04 01:16:00,28997,28999.5,28989.5,28990.5,0
2026-08-04 01:17:00,28991.75,28996,28985.75,28996,0
2026-08-04 01:18:00,28996,28997,28993,28995.5,0
2026-08-04 01:19:00,28994,29004.25,28991.5,29004.25,0
2026-08-04 01:20:00,29004.25,29016.5,29001,29012.75,0
2026-08-04 01:21:00,29010.5,29012.75,29007,29012.5,0
2026-08-04 01:22:00,29010.5,29012.75,29009,29010,0
2026-08-04 01:23:00,29009.75,29014.25,29008.75,29010,0
2026-08-04 01:24:00,29010,29019.25,29010,29019.25,0
2026-08-04 01:25:00,29019.75,29020.75,29011,29011,0
2026-08-04 01:26:00,29010.75,29016.5,29010.5,29015.5,0
2026-08-04 01:27:00,29013.25,29017.75,29009.5,29017.5,0
2026-08-04 01:28:00,29018.25,29023.25,29006,29023,0
2026-08-04 01:29:00,29022.25,29032.25,29022,29026.5,0
2026-08-04 01:30:00,29025.25,29037.5,29025,29035.75,0
2026-08-04 01:31:00,29035.5,29039.5,29033.25,29037,0
2026-08-04 01:32:00,29038,29039.25,29034.25,29038,0
2026-08-04 01:33:00,29038.75,29040,29033.5,29035,0
2026-08-04 01:34:00,29034,29044.75,29034,29041,0
2026-08-04 01:35:00,29041,29064,29040.75,29052.75,0
2026-08-04 01:36:00,29052,29066,29049.75,29061.5,0
2026-08-04 01:37:00,29061.75,29065.75,29060.75,29063.75,0
2026-08-04 01:38:00,29063.25,29074.75,29060.25,29066,0
2026-08-04 01:39:00,29065,29065,29047.25,29049.75,0
2026-08-04 01:40:00,29048.75,29053.75,29046,29052.5,0
2026-08-04 01:41:00,29052.25,29058.75,29051.5,29052.75,0
2026-08-04 01:42:00,29051.75,29057.25,29050.75,29054.75,0
2026-08-04 01:43:00,29055.25,29062.75,29054,29054,0
2026-08-04 01:44:00,29054,29061.5,29053.5,29058.5,0
2026-08-04 01:45:00,29056.25,29056.25,29043.5,29053.5,0
2026-08-04 01:46:00,29054.25,29054.25,29049.25,29051.5,0
2026-08-04 01:47:00,29052.5,29058,29052.5,29054.25,0
